province,date,retail_recreation,grocery_pharmacy,parks,transit,workplaces,residential,cases,cumulative_cases
Alberta,2020-02-15,7,3,24,7,-2,-1,0,0
Alberta,2020-02-16,10,-2,28,3,-3,-2,0,0
Alberta,2020-02-17,-7,-2,10,-40,-67,15,0,0
Alberta,2020-02-18,-1,1,-2,-9,-5,2,0,0
Alberta,2020-02-19,3,4,21,-7,-1,1,0,0
Alberta,2020-02-20,7,9,11,-6,-1,0,0,0
Alberta,2020-02-21,2,3,18,-1,2,0,0,0
Alberta,2020-02-22,8,7,19,4,5,-1,0,0
Alberta,2020-02-23,4,3,8,0,3,0,0,0
Alberta,2020-02-24,-1,1,1,3,4,0,0,0
Alberta,2020-02-25,2,3,13,2,5,0,1,1
Alberta,2020-02-26,5,7,8,1,5,-1,1,2
Alberta,2020-02-27,7,10,13,1,2,0,0,2
Alberta,2020-02-28,8,11,13,6,4,-1,2,4
Alberta,2020-02-29,5,7,8,4,5,0,10,14
Alberta,2020-03-01,8,10,13,4,4,-1,0,14
Alberta,2020-03-02,4,7,3,1,5,0,5,19
Alberta,2020-03-03,5,9,13,0,5,0,4,23
Alberta,2020-03-04,4,7,4,0,5,0,6,29
Alberta,2020-03-05,6,9,2,0,4,0,10,39
Alberta,2020-03-06,4,9,9,3,6,0,17,56
Alberta,2020-03-07,-2,2,-11,-6,3,2,18,74
Alberta,2020-03-08,-1,3,-10,-4,2,1,23,97
Alberta,2020-03-09,2,7,16,-1,4,0,22,119
Alberta,2020-03-10,2,5,9,-4,4,1,27,146
Alberta,2020-03-11,3,11,16,-5,4,1,49,195
Alberta,2020-03-12,4,29,-6,-8,2,1,31,226
Alberta,2020-03-13,-8,30,-28,-17,-3,5,33,259
Alberta,2020-03-14,-19,12,-45,-26,-5,7,42,301
Alberta,2020-03-15,-18,9,-28,-25,-7,5,57,358
Alberta,2020-03-16,-11,31,-13,-39,-22,9,61,419
Alberta,2020-03-17,-21,17,-12,-45,-29,13,67,486
Alberta,2020-03-18,-31,11,-24,-52,-35,16,56,542
Alberta,2020-03-19,-35,3,-28,-56,-39,18,79,621
Alberta,2020-03-20,-38,4,-9,-53,-40,19,40,661
Alberta,2020-03-21,-46,-9,8,-47,-30,13,29,690
Alberta,2020-03-22,-49,-21,16,-51,-34,11,64,754
Alberta,2020-03-23,-43,-11,-22,-63,-46,19,117,871
Alberta,2020-03-24,-48,-16,-31,-66,-49,22,97,968
Alberta,2020-03-25,-47,-11,-25,-66,-50,22,107,1075
Alberta,2020-03-26,-47,-12,-24,-68,-51,22,106,1181
Alberta,2020-03-27,-48,-11,-16,-65,-50,23,69,1250
Alberta,2020-03-28,-55,-21,-40,-63,-40,16,98,1348
Alberta,2020-03-29,-55,-29,-23,-63,-41,13,25,1373
Alberta,2020-03-30,-50,-22,-49,-71,-52,21,50,1423
Alberta,2020-03-31,-51,-21,-47,-70,-53,23,28,1451
Alberta,2020-04-01,-47,-13,-49,-71,-53,23,49,1500
Alberta,2020-04-02,-49,-15,-48,-72,-53,24,69,1569
Alberta,2020-04-03,-51,-16,-49,-71,-52,25,82,1651
Alberta,2020-04-04,-53,-20,-31,-63,-42,16,81,1732
Alberta,2020-04-05,-57,-33,-51,-69,-43,14,138,1870
Alberta,2020-04-06,-47,-17,-26,-69,-52,21,126,1996
Alberta,2020-04-07,-48,-15,-36,-70,-53,23,162,2158
Alberta,2020-04-08,-45,-8,-23,-69,-53,22,239,2397
Alberta,2020-04-09,-36,9,-10,-67,-54,21,165,2562
Alberta,2020-04-10,-57,-17,-37,-77,-78,32,241,2803
Alberta,2020-04-11,-52,-13,-44,-64,-45,16,105,2908
Alberta,2020-04-12,-63,-40,-43,-67,-46,14,187,3095
Alberta,2020-04-13,-48,-19,-19,-71,-59,23,306,3401
Alberta,2020-04-14,-46,-15,-30,-69,-53,23,319,3720
Alberta,2020-04-15,-45,-10,-37,-70,-53,23,297,4017
Alberta,2020-04-16,-41,-4,-5,-67,-53,22,215,4232
Alberta,2020-04-17,-45,-11,-28,-67,-52,24,243,4475
Alberta,2020-04-18,-49,-16,-21,-56,-38,15,216,4691
Alberta,2020-04-19,-47,-23,21,-54,-37,11,159,4850
Alberta,2020-04-20,-40,-12,17,-63,-51,19,315,5165
Alberta,2020-04-21,-41,-11,18,-64,-51,20,190,5355
Alberta,2020-04-22,-42,-9,-10,-66,-51,21,218,5573
Alberta,2020-04-23,-42,-8,-13,-66,-51,21,96,5669
Alberta,2020-04-24,-44,-9,4,-63,-50,21,93,5762
Alberta,2020-04-25,-45,-14,6,-52,-37,13,74,5836
Alberta,2020-04-26,-45,-20,8,-56,-38,11,57,5893
Alberta,2020-04-27,-41,-13,-11,-65,-50,19,70,5963
Alberta,2020-04-28,-39,-8,23,-63,-51,12,54,6017
Alberta,2020-04-29,-39,-5,19,-64,-51,20,81,6098
Alberta,2020-04-30,-40,-6,-12,-65,-51,20,59,6157
Alberta,2020-05-01,-39,-4,19,-58,-49,20,96,6253
Alberta,2020-05-02,-40,-7,55,-44,-34,10,47,6300
Alberta,2020-05-03,-44,-20,-1,-55,-34,10,45,6345
Alberta,2020-05-04,-40,-11,-27,-66,-50,19,62,6407
Alberta,2020-05-05,-34,0,49,-60,-49,18,50,6457
Alberta,2020-05-06,-36,-2,20,-62,-49,19,58,6515
Alberta,2020-05-07,-37,-2,6,-63,-49,19,72,6587
Alberta,2020-05-08,-40,-2,-1,-61,-47,20,57,6644
Alberta,2020-05-09,-38,4,24,-50,-30,10,39,6683
Alberta,2020-05-10,-37,-6,-9,-55,-29,8,33,6716
Alberta,2020-05-11,-38,-10,2,-62,-47,17,19,6735
Alberta,2020-05-12,-36,-7,22,-61,-47,18,33,6768
Alberta,2020-05-13,-31,3,57,-58,-46,17,32,6800
Alberta,2020-05-14,-30,3,22,-60,-47,,18,6818
British Columbia,2020-02-15,1,0,-4,2,-4,0,1,7
British Columbia,2020-02-16,12,2,41,10,-2,-2,0,7
British Columbia,2020-02-17,5,9,114,-21,-67,12,0,7
British Columbia,2020-02-18,6,8,60,1,1,0,0,7
British Columbia,2020-02-19,6,6,54,5,0,0,0,7
British Columbia,2020-02-20,6,8,56,0,0,0,1,8
British Columbia,2020-02-21,6,3,44,3,1,-1,0,8
British Columbia,2020-02-22,5,3,21,4,2,0,0,8
British Columbia,2020-02-23,3,0,-2,1,0,0,4,12
British Columbia,2020-02-24,1,4,22,0,2,0,1,13
British Columbia,2020-02-25,2,3,23,1,4,0,8,21
British Columbia,2020-02-26,2,4,32,3,2,0,0,21
British Columbia,2020-02-27,2,4,23,0,3,0,6,27
British Columbia,2020-02-28,5,4,18,2,3,-2,0,27
British Columbia,2020-02-29,7,8,39,7,3,-1,5,32
British Columbia,2020-03-01,7,7,31,6,2,-1,7,39
British Columbia,2020-03-02,-1,4,-8,-4,2,1,7,46
British Columbia,2020-03-03,3,7,27,-2,5,1,7,53
British Columbia,2020-03-04,5,6,56,4,2,-1,11,64
British Columbia,2020-03-05,1,3,13,-4,2,1,9,73
British Columbia,2020-03-06,7,6,54,4,4,-2,0,73
British Columbia,2020-03-07,3,4,11,0,2,0,30,103
British Columbia,2020-03-08,7,6,60,6,0,0,83,186
British Columbia,2020-03-09,1,6,48,-3,1,1,45,231
British Columbia,2020-03-10,0,2,14,-7,3,2,40,271
British Columbia,2020-03-11,3,8,53,-3,0,1,77,348
